name,state,office,district,party,website,phone,email,mailing_address
Tommy Tuberville,AL,Senator,,R,https://www.tuberville.senate.gov,(202) 224-4124,,"455 Russell Senate Office Building, Washington DC 20510"
Katie Boyd Britt,AL,Senator,,R,https://www.britt.senate.gov/,(202) 224-5744,,"502 Hart Senate Office Building, Washington DC 20510"
Lisa Murkowski,AK,Senator,,R,https://www.murkowski.senate.gov/,(202) 224-6665,,"522 Hart Senate Office Building, Washington DC 20510"
Dan Sullivan,AK,Senator,,R,https://www.sullivan.senate.gov,(202) 224-3004,,"706 Hart Senate Office Building, Washington DC 20510"
Mark Kelly,AZ,Senator,,D,https://www.kelly.senate.gov,(202) 224-2235,,"516 Hart Senate Office Building, Washington DC 20510"
Ruben Gallego,AZ,Senator,,D,https://www.gallego.senate.gov/,(202) 224-4521,,"302 Hart Senate Office Building, Washington DC 20510"
John Boozman,AR,Senator,,R,https://www.boozman.senate.gov/,(202) 224-4843,,"555 Dirksen Senate Office Building, Washington DC 20510"
Tom Cotton,AR,Senator,,R,https://www.cotton.senate.gov,(202) 224-2353,,"326 Russell Senate Office Building, Washington DC 20510"
Alex Padilla,CA,Senator,,D,https://www.padilla.senate.gov,(202) 224-3553,,"331 Hart Senate Office Building, Washington DC 20510"
Adam B. Schiff,CA,Senator,,D,https://www.schiff.senate.gov,(202) 224-3841,,"112 Hart Senate Office Building, Washington DC 20510"
Michael F. Bennet,CO,Senator,,D,https://www.bennet.senate.gov,(202) 224-5852,,"261 Russell Senate Office Building, Washington DC 20510"
John W. Hickenlooper,CO,Senator,,D,https://www.hickenlooper.senate.gov,(202) 224-5941,,"316 Hart Senate Office Building, Washington DC 20510"
Richard Blumenthal,CT,Senator,,D,https://www.blumenthal.senate.gov,(202) 224-2823,,"503 Hart Senate Office Building, Washington DC 20510"
Christopher Murphy,CT,Senator,,D,https://www.murphy.senate.gov/,(202) 224-4041,,"136 Hart Senate Office Building, Washington DC 20510"
Christopher A. Coons,DE,Senator,,D,https://www.coons.senate.gov/,(202) 224-5042,,"218 Russell Senate Office Building, Washington DC 20510"
Lisa Blunt Rochester,DE,Senator,,D,https://www.bluntrochester.senate.gov/,(202) 224-2441,,"513 Hart Senate Office Building, Washington DC 20510"
Rick Scott,FL,Senator,,R,https://www.rickscott.senate.gov/,(202) 224-5274,,"110 Hart Senate Office Building, Washington DC 20510"
Ashley Moody,FL,Senator,,R,https://www.moody.senate.gov,(202) 224-3041,,"B40B Dirksen Senate Office Building, Washington DC 20510"
Jon Ossoff,GA,Senator,,D,https://www.ossoff.senate.gov,(202) 224-3521,,"317 Hart Senate Office Building, Washington DC 20510"
Raphael G. Warnock,GA,Senator,,D,https://www.warnock.senate.gov,(202) 224-3643,,"717 Hart Senate Office Building, Washington DC 20510"
Brian Schatz,HI,Senator,,D,https://www.schatz.senate.gov,(202) 224-3934,,"722 Hart Senate Office Building, Washington DC 20510"
Mazie K. Hirono,HI,Senator,,D,https://www.hirono.senate.gov/,(202) 224-6361,,"109 Hart Senate Office Building, Washington DC 20510"
Mike Crapo,ID,Senator,,R,https://www.crapo.senate.gov,(202) 224-6142,,"239 Dirksen Senate Office Building, Washington DC 20510"
James E. Risch,ID,Senator,,R,https://www.risch.senate.gov,(202) 224-2752,,"483 Russell Senate Office Building, Washington DC 20510"
Richard J. Durbin,IL,Senator,,D,https://www.durbin.senate.gov,(202) 224-2152,,"711 Hart Senate Office Building, Washington DC 20510"
Tammy Duckworth,IL,Senator,,D,https://www.duckworth.senate.gov,(202) 224-2854,,"524 Hart Senate Office Building, Washington DC 20510"
Todd Young,IN,Senator,,R,https://www.young.senate.gov,(202) 224-5623,,"185 Dirksen Senate Office Building, Washington DC      20510"
Jim Banks,IN,Senator,,R,https://www.banks.senate.gov/,(202) 224-4814,,"303 Hart Senate Office Building, Washington DC 20510"
Chuck Grassley,IA,Senator,,R,https://www.grassley.senate.gov,(202) 224-3744,,"135 Hart Senate Office Building, Washington DC 20510"
Joni Ernst,IA,Senator,,R,https://www.ernst.senate.gov,(202) 224-3254,,"260 Russell Senate Office Building, Washington DC 20510"
Jerry Moran,KS,Senator,,R,https://www.moran.senate.gov,(202) 224-6521,,"521 Dirksen Senate Office Building, Washington DC 20510"
Roger Marshall,KS,Senator,,R,https://www.marshall.senate.gov,(202) 224-4774,,"479A Russell Senate Office Building, Washington DC 20510"
Mitch McConnell,KY,Senator,,R,https://www.mcconnell.senate.gov/,(202) 224-2541,,"317 Russell Senate Office Building, Washington DC 20510"
Rand Paul,KY,Senator,,R,https://www.paul.senate.gov,(202) 224-4343,,"295 Russell Senate Office Building, Washington DC 20510"
Bill Cassidy,LA,Senator,,R,https://www.cassidy.senate.gov,(202) 224-5824,,"455 Dirksen Senate Office Building, Washington DC 20510"
John Kennedy,LA,Senator,,R,https://www.kennedy.senate.gov,(202) 224-4623,,"437 Russell Senate Office Building, Washington DC 20510"
Susan M. Collins,ME,Senator,,R,https://www.collins.senate.gov,(202) 224-2523,,"413 Dirksen Senate Office Building, Washington DC 20510"
"Angus S. King,  Jr.",ME,Senator,,I,https://www.king.senate.gov/,(202) 224-5344,,"133 Hart Senate Office Building, Washington DC 20510"
Chris Van Hollen,MD,Senator,,D,https://www.vanhollen.senate.gov,(202) 224-4654,,"730 Hart Senate Office Building, Washington DC 20510"
Angela D. Alsobrooks,MD,Senator,,D,https://alsobrooks.senate.gov/,(202) 224-4524,,"B40E Dirksen Senate Office Building, Washington DC 20510"
Elizabeth Warren,MA,Senator,,D,https://www.warren.senate.gov,(202) 224-4543,,"311 Hart Senate Office Building, Washington DC 20510"
Edward J. Markey,MA,Senator,,D,https://www.markey.senate.gov,(202) 224-2742,,"255 Dirksen Senate Office Building, Washington DC 20510"
Gary C. Peters,MI,Senator,,D,https://www.peters.senate.gov,(202) 224-6221,,"724 Hart Senate Office Building, Washington DC 20510"
Elissa Slotkin,MI,Senator,,D,https://www.slotkin.senate.gov/,(202) 224-4822,,"291 Russell Senate Office Building, Washington DC 20510"
Amy Klobuchar,MN,Senator,,D,https://www.klobuchar.senate.gov/,(202) 224-3244,,"425 Dirksen Senate Office Building, Washington DC 20510"
Tina Smith,MN,Senator,,D,https://www.smith.senate.gov,(202) 224-5641,,"720 Hart Senate Office Building, Washington DC 20510"
Roger F. Wicker,MS,Senator,,R,https://www.wicker.senate.gov,(202) 224-6253,,"425 Russell Senate Office Building, Washington DC 20510"
Cindy Hyde-Smith,MS,Senator,,R,https://www.hydesmith.senate.gov/,(202) 224-5054,,"528 Hart Senate Office Building, Washington DC 20510"
Josh Hawley,MO,Senator,,R,https://www.hawley.senate.gov,(202) 224-6154,,"115 Russell Senate Office Building, Washington DC 20510"
Eric Schmitt,MO,Senator,,R,https://www.schmitt.senate.gov/,(202) 224-5721,,"387 Russell Senate Office Building, Washington DC 20510"
Steve Daines,MT,Senator,,R,https://www.daines.senate.gov,(202) 224-2651,,"320 Hart Senate Office Building, Washington DC 20510"
Tim Sheehy,MT,Senator,,R,https://www.sheehy.senate.gov/,(202) 224-2644,,"G55 Dirksen Senate Office Building, Washington DC 20510"
Deb Fischer,NE,Senator,,R,https://www.fischer.senate.gov,(202) 224-6551,,"448 Russell Senate Office Building, Washington DC 20510"
